Drawing Number,Drawing Name,Spare Part Numbers,Parsed Part Numbers
E-5219,12 TOOTH DRIVE GEAR,A143567,A143567
B-5347-17-427,ADJUSTABLE SLIDE STOP,A143539,A143539
E-5365-10-19,BAG MAKER PRINT STATION PAD,A150236,A150236
E-5088-12-62,BUFFER PLATE PERIMETER STATION PART FILL (USED ON FAB 5 & FAB 16),A108452,A108452
B-5286-8-104,BULLET SLEEVE,A129020,A129020
B-5413-04-02,CAMBOT ARM,A130708,A130708
B-11416-2,CHEMICAL INDICATOR HOLDER-NARROW TOP,A141801,A141801
B-11416-1,CHEMICAL INDICATOR HOLDER-WIDE TOP,A141802,A141802
B-5088-28-20,COLLAR (SPACER),A129316,A129316
B-5365-12-17,DRIVE ROLLER,A150235,A150235
B-5358-16-10,DRIVE ROLLER,A150238,A150238
B-5358-92-04,DRIVE ROLLER,A132780,A132780
B-6221,FAB #7 - FAB #11 ONLY TYPEHOLDER,A151518,A151518
E-7193-1,FMC CURTAIN ROD TOP HEAD,A116261,A116261
B-5117-76-15,FOWLER MODIFIED,A143372,A143372
B-5347-17-464,GRIPPER FINGER - REAR PRE ALIGNER,A143538,A143538
B-5345-32-91,IRRIGATION BAG MAKER 3 UP PRESSURE ROLLER,A150237,A150237
B-5412$2,"LIFECARE, IRRIGATION & VISIV, PRINT SLUGS",A119869,A119869
H-MD-5283,MAIN ASSEMBLY,A`,A`
E-5088-165-11,MANDREL BLOCK 250M.L. L.C. 2A BAGMAKER 150/250,A106631,A106631
K-MD-9218,MINOR ADD HOPPER BAG ASSEMBLY,A143367,A143367
B-8418,PACKOUT VISUAL INDICATOR,A143324,A143324
E-5398-8-2,PERIMETER DIE POD,A126870,A126870
K-10117-1,PERIMETER DIE POD LIFE CARE II 500ML 10 DEGREE AUSTIN,A142717,A142717
K-5108-7-3,POCKET INSERT #2,A138166,A138166
B-5358-17-9,PRINT PAD,A128957,A128957
B-5335-6-24,QUICK CHANGE TYPEHOLDER,A143785,A143785
B-MD-5109-6-39,ROLLER PIN,A100974,A100974
B-5088-2-44-07,"ROLLER ROD, .375 DIA.",A120584,A120584
B-5088-2-44-18,"ROLLER, BOTTOM",A122388,A122388
E-5119-4-12,SEALING PAD SUPPORT,A128072,A128072
B-5088-52-19,SHOCK ABSORBER CAP,A118966,A118966
B-5088-52-20,SHOCK ABSORBER CAP,A118965,A118965
B-9298-3-8,SPLIT HOLDDOWN SHORT BAR,A127893,A127893
E-5119-4-1,STRIPPER,A116692,A116692
E-5193-8-7,TRANSFER PLATE,A125924,A125924
B-5193-8-15,TRANSFER YOKE,A128256,A128256
B-10109-0-7-5,WHEEL RUBBER CAPPED ASY MOLE DRIVE WHEEL,A135015,A135015
B-10109-0-7-4,WHEEL RUBBER CAPPED ASY MOLE DRIVE WHEEL,A135016,A135016
